year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,sourcecode,version
"2010",94,COS,"453,444","3,471,000",0,"1,297",0,"3,925,741",0,0,0,"3,800","3,800",0,0,0,0,0,0,0,0,0,0,"1,200","1,200",0,558,0,0,0,0,0,0,"35,000","1,250","445,000","37,451","4,412,549","4,450,000",0.1019,0.78,0,0.0003,0,0.8822,0,0,0,0.0009,0.0009,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0.0001,0,0,0,0,0,0,0.0079,0.0003,0.1,0.0084,0.9916,1,0,24,5,10,Medium,83,1.1
"2010",935,VAN,"140,012","28,968",0,"36,210",0,"205,190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,476,0,0,0,0,"12,070",0,0,0,0,"10,887","8,000","4,777","236,623","241,400",0.58,0.12,0,0.15,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.05,0,0,0,0,0.0451,0.0331,0.0198,0.9802,1,0,24,5,10,Medium,83,1.1
"2010",93,NIC,"1,350,661","3,798,734","93,149",0,0,"5,242,544",0,0,0,0,0,0,0,0,0,0,0,"1,602","1,602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"523,963","53,706","5,768,109","5,821,815",0.232,0.6525,0.016,0,0,0.9005,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.0092,0.9908,1,0,24,4,10,Medium,83,1.1
"2010",920,NEW,"692,769","673,936","7,827","752,931","234,094","2,361,557",0,0,0,"4,696","4,696",0,0,0,0,0,0,"48,943","48,943",0,0,"91,846","91,846",0,"86,698","9,922",0,"7,514",0,0,0,"11,480","31,311","1,711,677","1,846","4,365,644","4,367,490",0.1586,0.1543,0.0018,0.1724,0.0536,0.5407,0,0,0,0.0011,0.0011,0,0,0,0,0,0,0.0112,0.0112,0,0,0.021,0.021,0,0.0199,0.0023,0,0.0017,0,0,0,0.0026,0.0072,0.3919,0.0004,0.9996,1,0,34,5,10,Medium,99,1.1
"2010",92,SAL,"1,990,591","4,219,188",0,0,0,"6,209,779",0,0,0,648,648,0,0,0,0,0,0,"2,027","2,027",0,0,0,0,0,0,0,0,0,0,0,0,0,"27,500","800,563","171,771","7,040,517","7,212,288",0.276,0.585,0,0,0,0.861,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0.111,0.0238,0.9762,1,0,24,4,10,Medium,83,1.1
"2010",910,PNG,"4,132,132","1,859,459",0,"137,737","482,082","6,611,410",0,0,0,813,813,0,0,0,0,0,0,"1,832","1,832",0,0,"2,865","2,865",0,0,0,0,"34,384",0,0,0,"3,581","171,921","35,816","24,265","6,862,622","6,886,887",0.6,0.27,0,0.02,0.07,0.96,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0004,0.0004,0,0,0,0,0.005,0,0,0,0.0005,0.025,0.0052,0.0035,0.9965,1,0,34,8,28,Low,99,1.1
"2010",91,HON,"2,560,652","4,561,162",0,0,0,"7,121,814",0,0,0,397,397,397,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"800,203","79,228","7,922,811","8,002,039",0.32,0.57,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0099,0.9901,1,0,24,8,20,Medium,83,1.1
"2010",900,AUL,"2,017,577","4,340,077","616,754","3,338,520","2,837,742","13,150,670",0,0,0,"97,335","97,335",0,0,0,0,0,0,"476,290","476,290",0,0,"528,977","528,977","2,450","180,000","30,000",0,"15,000",0,0,"55,000","70,000","59,000","6,636,435","98,843","21,301,157","21,400,000",0.0943,0.2028,0.0288,0.156,0.1326,0.6145,0,0,0,0.0045,0.0045,0,0,0,0,0,0,0.0223,0.0223,0,0,0.0247,0.0247,0.0001,0.0084,0.0014,0,0.0007,0,0,0.0026,0.0033,0.0028,0.3101,0.0046,0.9954,1,0,24,4,7,High,326,1.1
"2010",90,GUA,"5,529,785","7,603,454",0,0,0,"13,133,239",0,0,0,"2,000","2,000","2,000",0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,800","635,050","49,374","13,775,089","13,824,463",0.4,0.55,0,0,0,0.95,0,0,0,0.0001,0.0001,0.0001,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0459,0.0036,0.9964,1,0,24,6,10,Medium,83,1.1
"2010",860,ETM,"16,916","1,088,306",0,0,0,"1,105,222",0,0,0,0,0,0,0,0,0,0,0,"7,894","7,894",0,0,"1,127","1,127",0,0,0,0,0,0,0,0,0,"7,500","4,365","1,671","1,126,108","1,127,779",0.015,0.965,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.0067,0.0039,0.0015,0.9985,1,0,24,4,10,Medium,83,1.1
"2010",850,INS,"16,797,200","7,198,800","1,886","3,773","1,442,867","25,444,526",0,0,0,0,0,"199,000,000","2,050,000",0,0,0,"500,000",0,"201,550,000",0,0,"1,919,680","1,919,680",0,"3,599,400","12,500",0,"21,200",0,0,0,"2,062,908","3,200,000","1,800,000","349,786","239,610,214","239,960,000",0.07,0.03,0,0,0.006,0.106,0,0,0,0,0,0.8293,0.0085,0,0,0,0.0021,0,0.8399,0,0,0.008,0.008,0,0.015,0.0001,0,0.0001,0,0,0,0.0086,0.0133,0.0075,0.0015,0.9985,1,0,24,4,10,Medium,83,1.1
"2010",840,PHI,"7,487,470","76,469,863",0,"145,000","391,112","84,493,445",0,0,0,300,300,"4,604,898","460,489",0,0,0,0,"48,384","5,113,771",0,0,"105,000","105,000",0,0,0,0,"157,000",0,0,0,"53,000","1,093,786","858,781","222,895","91,875,083","92,097,978",0.0813,0.8303,0,0.0016,0.0042,0.9174,0,0,0,0,0,0.05,0.005,0,0,0,0,0.0005,0.0555,0,0,0.0011,0.0011,0,0,0,0,0.0017,0,0,0,0.0006,0.0119,0.0093,0.0024,0.9976,1,0,24,5,8,High,325,1.1
"2010",835,BRU,"1,853","5,526",0,"1,642","3,341","12,362",0,0,0,30,30,0,0,0,0,0,0,"335,000","335,000",0,0,"28,848","28,848",0,0,0,0,0,0,0,0,"15,000","15,000","4,880",995,"411,120","412,115",0.0045,0.0134,0,0.004,0.0081,0.03,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.8129,0.8129,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0.0364,0.0364,0.0118,0.0024,0.9976,1,0,24,8,7,High,83,1.1
"2010",830,SIN,"266,768","358,229","4,074","67,166","234,426","930,663",0,0,0,300,300,0,0,0,0,0,0,"727,000","727,000",0,0,"1,688,506","1,688,506",0,"258,053","17,564",0,"6,000","554,426",0,0,"320,000",0,"602,421","7,067","5,104,933","5,112,000",0.0522,0.0701,0.0008,0.0131,0.0459,0.1821,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.1422,0.1422,0,0,0.3303,0.3303,0,0.0505,0.0034,0,0.0012,0.1085,0,0,0.0626,0,0.1178,0.0014,0.9986,1,0,24,4,8,High,324,1.1
"2010",820,MAL,"600,749","858,334","5,852","247,720","626,103","2,338,758",0,0,0,0,0,"15,536,700","1,726,300",0,0,0,0,0,"17,263,000",0,0,"5,433,600","5,433,600",0,"1,698,000",0,0,0,0,0,0,"710,000","775,000","50,000","31,642","28,268,358","28,300,000",0.0212,0.0303,0.0002,0.0088,0.0221,0.0826,0,0,0,0,0,0.549,0.061,0,0,0,0,0,0.61,0,0,0.192,0.192,0,0.06,0,0,0,0,0,0,0.0251,0.0274,0.0018,0.0011,0.9989,1,0,24,4,7,High,322,1.1
"2010",812,LAO,"63,397","27,549",0,144,"1,022","92,112",0,0,0,0,0,"55,268","6,140",0,0,0,0,0,"61,408","45,000","4,114,404",0,"4,159,404",0,0,0,0,"52,000",0,0,0,"15,000","1,688,748","68,000","4,230","6,136,672","6,140,902",0.0103,0.0045,0,0,0.0002,0.015,0,0,0,0,0,0.009,0.001,0,0,0,0,0,0.01,0.0073,0.67,0,0.6773,0,0,0,0,0.0085,0,0,0,0.0024,0.275,0.0111,0.0007,0.9993,1,0,24,8,20,Medium,1,1.1
"2010",811,CAM,"25,047","8,202",0,96,"23,854","57,199",0,0,0,0,0,"274,289","19,427",0,0,0,0,0,"293,716","47,098","14,754,892",0,"14,801,990",0,0,0,0,0,0,0,0,0,"39,996","59,995","55,260","15,252,896","15,308,156",0.0016,0.0005,0,0,0.0016,0.0037,0,0,0,0,0,0.0179,0.0013,0,0,0,0,0,0.0192,0.0031,0.9639,0,0.9669,0,0,0,0,0,0,0,0,0,0.0026,0.0039,0.0036,0.9964,1,0,24,4,7,High,317,1.1
"2010",800,THI,"190,694","172,023",497,"6,781","34,003","403,998",0,0,0,200,200,"6,060,012","673,334",0,0,0,0,0,"6,733,346",0,"58,580,120",0,"58,580,120",0,"56,000","19,500",0,"6,300",0,0,"77,000","62,000","475,000","673,334","246,674","67,086,798","67,333,472",0.0028,0.0026,0,0.0001,0.0005,0.006,0,0,0,0,0,0.09,0.01,0,0,0,0,0,0.1,0,0.87,0,0.87,0,0.0008,0.0003,0,0.0001,0,0,0.0011,0.0009,0.0071,0.01,0.0037,0.9963,1,0,24,5,10,Medium,83,1.1
"2010",80,BLZ,"80,829","123,010",0,"14,016","6,117","223,972",0,0,0,0,0,0,0,0,0,0,0,577,577,0,0,757,757,0,612,0,0,202,0,0,0,0,0,"47,511","30,475","273,631","304,106",0.2658,0.4045,0,0.0461,0.0201,0.7365,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.0019,0,0,0.0025,0.0025,0,0.002,0,0,0.0007,0,0,0,0,0,0.1562,0.1002,0.8998,1,0,1,2,5,High,74,1.1
"2010",790,NEP,"41,940","3,349","1,378",0,"329,030","375,697",0,0,0,0,0,0,0,0,0,0,0,"1,162,370","1,162,370",0,0,"2,396,099","2,396,099",0,"21,551,492",609,0,"1,283",0,"3,214",0,0,"942,157","50,000","11,583","26,482,921","26,494,504",0.0016,0.0001,0.0001,0,0.0124,0.0142,0,0,0,0,0,0,0,0,0,0,0,0.0439,0.0439,0,0,0.0904,0.0904,0,0.8134,0,0,0,0,0.0001,0,0,0.0356,0.0019,0.0004,0.9996,1,0,24,4,7,High,316,1.1
"2010",781,MAD,554,887,0,0,0,"1,441",0,0,0,0,0,"292,012","19,044",0,0,0,0,0,"311,056",0,0,"1,331","1,331",0,0,0,0,0,0,0,0,0,0,0,"3,577","313,828","317,405",0.0017,0.0028,0,0,0,0.0045,0,0,0,0,0,0.92,0.06,0,0,0,0,0,0.98,0,0,0.0042,0.0042,0,0,0,0,0,0,0,0,0,0,0,0.0113,0.9887,1,0,24,7,10,Medium,83,1.1
